,bill_length,bill_width,bill_depth,wing,tarsus,mass
Actinodura_nipalensis,10.433,4.178,10.011,87,31.925,44
Actinodura_waldeni,10.675,4.275,5.1,95.5,33.85,47.5
Actinodura_egertoni,9.1,4.1,4.85,82.5,30.3,36
Minla_cyanouroptera,7.84,3.25,3.8,63.2,22.85,17
Minla_strigula,7,3.45,3.96,66.2,26.1,19.2
Minla_ignotincta,6.791,2.864,3.073,63.727,19.8,14.3
Heterophasia_annectans,8.8,3.65,4,80.5,25.7,24.5
Liocichla_phoenicea,9.8,4.2,5.675,87,35.3,49
Heterophasia_pulchella,15.825,5.095,5.195,107,31.465,41
Heterophasia_capistrata,12.89,4.34,4.76,95,31,39.4
Heterophasia_picaoides,15,4.533,4.867,118.5,28.05,42.4
Trochalopteron_subunicolor,9.885,4.5,6.145,94.75,37.14,66
Trochalopteron_lineatum,9.69,4.035,5.045,80.25,29.32,40.7
Trochalopteron_variegatum,12.87,4.97,6.23,104.25,39.195,64.5
Trochalopteron_affine,13.005,4.92,5.805,105,39.065,73
Trochalopteron_erythrocephalum,13.91,4.785,5.825,103,40.23,71.7
Alcippe_nipalensis,7.263,3.083,3.813,59.083,23,15.8
Malacocincla_abbotti,12.675,4,5.8,78,26.3,29.25
Napothera_epilepidota,10.94,3.09,3.55,54.9,22.24,16
Pellorneum_ruficeps,10.9,3.4,4.85,71,27.3,26
Schoeniparus_rufogularis,7.6,2.9,3.725,60.5,23.5,17.3
Schoeniparus_cinerea,6.925,2.675,2.8,54.5,20.3,11
Schoeniparus_castaneceps,6.6,2.282,2.755,57.455,22.2,12.5
Stachyridopsis_rufifrons,7.75,2.675,3.1,50.5,18.35,10.6
Stachyridopsis_pyrrhops,8.95,2.9,3.6,55,20.55,9.75
Stachyridopsis_ruficeps,8.95,2.8,3.3,55.25,20.6,10.3
Stachyridopsis_chrysaea,7.6,2.8,3.35,53,20.6,9
Macronous_gularis,8.675,3.1,3.5,60,19.3,11.45
Spelaeornis_caudatus,6.46,2.753,3.237,48.267,19.197,11
Pomatorhinus_ferruginosus,18.8,3.9,6.4,89.5,33.7,40
Pomatorhinus_schisticeps,20.925,4,6.8,98.5,34.05,43
Stachyris_nigriceps,9.925,3.425,4.65,58,23.05,15.8
Pomatorhinus_erythrogenys,25.7,5.275,6.7,98,37.44,54.9
Yuhina_bakeri,6.5,3.395,4.025,67,21.79,17.5
Yuhina_flavicollis,6.7,2.93,3.22,63.2,21.723,15.4
Yuhina_occipitalis,8.16,2.75,2.95,61.5,20.093,13
Yuhina_gularis,8.29,3.2,3.13,73.1,23.845,21
Yuhina_nigrimenta,6.735,2.63,2.515,56,16.395,9.5
Zosterops_palpebrosus,6.48,2.31,2.82,52.6,16.678,8.6
Fulvetta_vinipectus,6.071,2.6,3.2,56.444,23,12
Paradoxornis_fulvifrons,4.525,4.5,5.225,54.5,19.45,6.4
Paradoxornis_nipalensis,4.535,4.185,5.78,50.5,17.43,5.5
Conostoma_oemodium,17.2,9.075,12,132,41.8,84
Paradoxornis_ruficeps,10.3,7.1,12.2,85,25.4,32
Paradoxornis_gularis,9.63,6.055,9.215,87,26.455,29
Pnoepyga_albiventer,8.005,3.3,3.12,59.4,24.185,20.9
Pnoepyga_pusilla,8.26,3.195,2.67,48.3,19.235,12
Pnoepyga_immaculata,8.005,3.3,3.12,59.4,24.185,20.5
Pycnonotus_striatus,10.06,4.885,5.335,109.75,19.715,52.5
Hemixos_flavala,12.75,5.205,5.385,97.25,19.045,32.5
Hypsipetes_leucocephalus,17.035,5.825,6.12,123.8,19.415,52.5
Hypsipetes_mcclellandi,18.105,5.94,5.695,107.5,17.845,32.5
Alophoixus_flaveolus,11.28,4.75,6.585,103.5,22.3,45.65
Pycnonotus_flaviventris,8.795,4.21,4.485,91.25,16.925,27.75
Pycnonotus_cafer,10.635,5.035,5.305,104.5,26.285,32.9
Pycnonotus_leucogenys,9.92,4.23,4.815,88.75,21.985,36
Parus_rufonuchalis,9.475,4.5,4.325,78.5,20.55,12.8
Parus_rubidiventris,7.235,3.55,3.989,69,19.45,12
Parus_melanolophus,7.292,3.167,3.342,62.333,16.275,8.67
Parus_ater,6.2,2.81,2.8,59.6,18.15,9.2
Parus_dichrous,6.721,3.207,3.271,69.571,20.15,12.8
Parus_monticolus,7.6,3.7,4.112,66.176,19.4,14.1
Parus_major,8.331,4.085,4.508,66,19.175,16.38
Parus_spilonotus,8.42,4.57,5.02,77.2,19.9,18.8
Melanochlora_sultanea,11.379,5.421,14.457,108.571,24.4,37.6
Sylviparus_modestus,5.054,2.65,2.838,59.5,17.55,8.2
Culicicapa_ceylonensis,6.2,3.525,2.49,62.5,13.8,7.7
Chelidorhynx_hypoxantha,4.05,2.575,1.75,57.75,15.575,5.5
Irena_puella,18.36,8.22,8.715,136.9,19.925,64.9
Chloropsis_hardwickii,15.69,5.01,5.71,95.75,19.32,32.75
Chloropsis_aurifrons,16.01,5.01,5.205,96.35,19.44,32.5
Passer_rutilans,8.805,6.255,6.195,70.7,18.52,18.5
Petronia_xanthocollis,10.29,6.595,6.285,84.55,17.255,18.1
Emberiza_fucata,8.045,5.91,5.855,72.9,22.16,19.8
Pyrrhula_aurantiaca,7.988,7.625,7.713,82.375,16.763,19.5
Pyrrhula_erythrocephala,8.585,9.02,8.995,81.05,17.605,22.8
Pyrrhula_erythaca,8.6,8.35,8.65,83,18.7,19
Carpodacus_rubescens,10.75,6.57,7.73,82,19.46,24.15
Pyrrhoplectes_epauletta,8.825,6.65,7.1,78,20,19
Carpodacus_nipalensis,9.81,5.41,5.725,87.25,21.655,22.3
Leucosticte_nemoricola,9.33,6.6,6.86,101,20.415,22.7
Carpodacus_erythrinus,8.605,7.55,7.8,83.5,19.31,24
Carpodacus_thura,9.675,7.63,8.485,85.5,25.455,32.7
Carpodacus_rodochroa,8,5.755,6.615,71.25,20.075,17.875
Mycerobas_icterioides,18.575,14.015,15.85,130.75,26.605,67
Mycerobas_affinis,18.475,12.745,15.325,124.1,26.42,76.75
Mycerobas_carnipes,18.365,14.17,16.1,113.95,27.565,59
Mycerobas_melanozanthos,19.24,17.06,20.23,132.5,25.315,62
Anthus_roseatus,9.105,3.205,3.235,90.5,23.435,21
Anthus_hodgsoni,9.37,4.08,3.735,81.6,22.605,21.3
Prunella_strophiata,7.1,3.65,3.4,66,20.3,18.2
Dicaeum_agile,5.825,3.1,3.65,60.25,13.725,9
Dicaeum_cruentatum,7.4,2.875,2.9,49.75,12.225,6.2
Dicaeum_ignipectus,6.7,3.415,2.87,48.5,12.35,5.9
Dicaeum_minullum,6.7,2.8,2.8,45.25,12.35,5.9
Arachnothera_magna,35.95,6.1,5.3,94.25,21.7,30.7
Cinnyris_asiaticus,14.65,3.15,3.05,57.5,15.7,8.1
Aethopyga_ignicauda,16.625,3.9,2.65,58,15.65,8.2
Aethopyga_siparaja,15.95,3.7,2.85,62,14.7,6.7
Aethopyga_saturata,15.95,3,3.1,52,14.55,5.3
Aethopyga_nipalensis,16.65,3,3.1,54.5,16.1,7
Regulus_regulus,6.1,2.46,2.05,58.25,17.7,5.55
Erpornis_zantholeuca,9.93,3.02,3.97,67,16.1,11.8
Pteruthius_flaviscapis,9.68,5.273,6.237,83,26.983,39
Pteruthius_melanotis,5.34,3.253,3.97,60.333,19.567,13.3
Pteruthius_xanthochlorus,5.045,3.355,3.69,61.5,20.6,14.3
Oriolus_kundoo,20.73,7.42,8.05,144,23.65,79
Oriolus_xanthornus,22.065,8.013,8.233,140.875,26.105,56.3
Oriolus_traillii,22.02,7.303,7.985,148.7,24.273,74
Aegithina_tiphia,10.63,3.69,4.015,66.375,19.15,14.4
Tephrodornis_gularis,16.125,6.98,7.433,118.75,20.66,37.8
Tephrodornis_pondicerianus,13.888,6.52,6.323,88.375,19.29,20.2
Hemipus_picatus,9.678,4.475,3.565,64.375,12.695,9
Pericrocotus_solaris,8.073,4.03,4.223,84,16.363,14.5
Pericrocotus_speciosus,12.07,5.915,6.32,107,19.475,27.7
Pericrocotus_brevirostris,7.348,4.048,3.928,86.75,15.275,16.5
Pericrocotus_ethologus,8.16,4.118,3.973,92.25,17.2,19
Pericrocotus_cinnamomeus,7.03,3.775,3.46,68.75,15.588,8.6
Coracina_melanoptera,11.11,4.975,5.44,100.5,18.55,29.6
Coracina_macei,18.665,11.635,10.94,170,26.85,118
Dicrurus_remifer,16.398,8.415,8.81,143,20.513,43.1
Dicrurus_paradiseus,25.323,11.098,12.84,170,29.475,71
Dicrurus_hottentottus,25.638,10.575,11.158,152.55,25.278,79.2
Dicrurus_leucophaeus,18.208,9.088,9.1,142.5,18.623,37.6
Dicrurus_macrocercus,16.7,8.555,8.888,150.575,23.423,48.3
Dicrurus_aeneus,14.01,8.143,6.133,126.1,15.383,23.1
Rhipidura_albicollis,7.477,4.107,2.9,78,20.437,12.9
Hypothymis_azurea,9.377,5.323,3.907,72,16.127,11.1
Terpsiphone_paradisi,13.415,7.05,5.065,92.525,16.493,19.25
Dendrocitta_formosae,22.753,11.793,14.313,138.8,30.115,94
Dendrocitta_vagabunda,21.343,11.478,14.305,154.25,36,100
Urocissa_flavirostris,24.37,12.438,13.335,190,49.01,150.5
Nucifraga_caryocatactes,35.958,14.838,15.62,218.125,43.078,197.083
Corvus_japonensis,38.305,15.775,22.045,337.5,57.05,487
Corvus_culminatus,40.65,15.5,21.45,291,53.55,336
Psarisomus_dalhousiae,15.9,12.925,9.5,101,27.7,67
Pitta_brachyura,14.1,5.95,7.15,106,39.3,55.5
Megalaima_australis,14.295,7.6,8.135,86.25,19.505,33.3
Caprimulgus_macrurus,8.755,5.06,3.2,209.5,20.6,66.2
Picus_xanthopygaeus,26.1,8.5,8.4,133.5,26.55,99.7
Cettia_pallidipes,7,2.233,2.633,52,20.367,8.49
Nyctyornis_athertoni,37.05,9.45,10.555,131.55,17.83,92
Pericrocotus_roseus,9.073,5.038,4.655,86.875,15.15,19.2
Psittacula_cyanocephala,19.645,11.795,18.66,140.5,12.185,62
Abroscopus_albogularis,5.475,2.5,2.1,43.5,15.6,5
